bu_name,campaign_id,segment_name,operator_name,condition_name,condition_type,channel,goal,size_pool,month
Cinema,CIN_CAM_020,Late Night Users,AND,user has no transaction in 30 days,retention,promotion,increase clicks,191170,2026-02
Cinema,CIN_CAM_001,Late Night Users,EXCLUDE,user searched for cinema,behavior,promotion,increase clicks,1813992,2025-11
Cinema,CIN_CAM_011,New App Logins,OR,user searched for cinema,behavior,notification,upsell snack combo,1264642,2026-03
Cinema,CIN_CAM_010,Action Movie Fans,OR,user used promotion voucher,promotion,journey,upsell snack combo,1245067,2026-03
Cinema,CIN_CAM_005,Voucher Hunters,OR,user searched for cinema,behavior,journey,upsell snack combo,734923,2026-03
Cinema,CIN_CAM_019,Recent Transactors,OR,user opened app in weekend,behavior,notification,increase clicks,1208403,2025-12
Cinema,CIN_CAM_014,Students Near Cinema,EXCLUDE,user clicked banner ad,engagement,advertising,increase CTR,1857984,2026-02
Cinema,CIN_CAM_007,Late Night Users,OR,user joined loyalty program,lifecycle,promotion,upsell snack combo,360658,2026-01
Cinema,CIN_CAM_017,Action Movie Fans,EXCLUDE,user clicked banner ad,engagement,advertising,increase ticket sales,990110,2026-01
Cinema,CIN_CAM_008,Students Near Cinema,AND,user clicked cinema notification,engagement,notification,increase ticket sales,1031944,2026-02
Cinema,CIN_CAM_020,Users With Payment Success,AND,user purchased snack combo,transaction,journey,upsell snack combo,2419538,2025-12
Cinema,CIN_CAM_013,Premium Seat Buyers,OR,user viewed movie detail page,behavior,promotion,upsell snack combo,28256,2025-11
Cinema,CIN_CAM_014,Voucher Hunters,AND,user joined loyalty program,lifecycle,journey,increase ticket sales,2342929,2025-12
Cinema,CIN_CAM_004,Premium Seat Buyers,AND,user joined loyalty program,lifecycle,journey,upsell snack combo,2232728,2026-03
Cinema,CIN_CAM_020,Dormant Users 30D,OR,user clicked banner ad,engagement,journey,reactivate users,1875297,2025-12
Cinema,CIN_CAM_016,Premium Seat Buyers,OR,user joined loyalty program,lifecycle,promotion,upsell snack combo,1168128,2026-03
Cinema,CIN_CAM_016,Action Movie Fans,AND,user purchased cinema ticket,transaction,journey,increase ticket sales,1203430,2025-12
Cinema,CIN_CAM_009,Dormant Users 30D,OR,user visited nearby cinema location page,location,notification,increase impressions,637629,2025-12
Cinema,CIN_CAM_013,Romance Movie Fans,AND,user paid via wallet balance,payment,promotion,increase ticket sales,1745082,2026-02
Cinema,CIN_CAM_011,Late Night Users,OR,user has no transaction in 30 days,retention,notification,increase impressions,1767209,2026-02
Cinema,CIN_CAM_019,Romance Movie Fans,AND,user watched trailer,engagement,journey,increase CTR,29729,2026-01
Cinema,CIN_CAM_010,Students Near Cinema,OR,user watched trailer,engagement,journey,reactivate users,2295644,2026-03
Cinema,CIN_CAM_008,Premium Seat Buyers,AND,user purchased cinema ticket,transaction,journey,increase CTR,126738,2026-02
Cinema,CIN_CAM_011,Action Movie Fans,EXCLUDE,user joined loyalty program,lifecycle,journey,upsell snack combo,697247,2026-02
Cinema,CIN_CAM_005,New App Logins,EXCLUDE,user login app,behavior,journey,reactivate users,2372231,2025-11
Cinema,CIN_CAM_003,Action Movie Fans,OR,user clicked cinema notification,engagement,journey,increase impressions,215909,2026-01
Cinema,CIN_CAM_013,Dormant Users 30D,AND,user purchased snack combo,transaction,advertising,increase clicks,1595170,2026-01
Cinema,CIN_CAM_014,Recent Transactors,AND,user purchased snack combo,transaction,notification,upsell snack combo,2267487,2025-11
Cinema,CIN_CAM_012,Voucher Hunters,EXCLUDE,user create a transaction,transaction,notification,increase ticket sales,1042181,2025-12
Cinema,CIN_CAM_001,New App Logins,AND,user viewed movie detail page,behavior,promotion,increase CTR,484784,2026-03
Cinema,CIN_CAM_007,Premium Seat Buyers,EXCLUDE,user purchased cinema ticket,transaction,advertising,increase impressions,485385,2025-12
Cinema,CIN_CAM_010,Weekend Viewers,EXCLUDE,user login app,behavior,advertising,reactivate users,1579151,2026-02
Cinema,CIN_CAM_007,Weekend Viewers,EXCLUDE,user paid via wallet balance,payment,promotion,increase ticket sales,1269929,2026-03
Cinema,CIN_CAM_004,Students Near Cinema,EXCLUDE,user joined loyalty program,lifecycle,notification,increase clicks,2239495,2026-02
Cinema,CIN_CAM_012,Weekend Viewers,EXCLUDE,user searched for cinema,behavior,advertising,increase ticket sales,1766854,2026-02
Cinema,CIN_CAM_004,Family Ticket Buyers,OR,user searched for cinema,behavior,journey,upsell snack combo,646691,2026-02
Cinema,CIN_CAM_006,Romance Movie Fans,EXCLUDE,user searched for cinema,behavior,advertising,reactivate users,2262260,2026-02
Cinema,CIN_CAM_015,Family Ticket Buyers,EXCLUDE,user clicked banner ad,engagement,advertising,increase clicks,1034681,2025-11
